"filename", "language", "YAML", "Markdown", "Shell Script", "JavaScript", "SQL", "XML", "CSS", "JSON", "HTML", "Docker", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\register.js", "JavaScript", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 4, 5, 178
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\mainpage.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\openquestion.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 3, 99
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\questions.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 3, 71
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\utils\customHooks.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\utils\functions.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\config\db.sql", "SQL", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 94, 47, 231
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\docker-compose.yml", "YAML", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 45, 77, 21, 3610, 90, 2635, 57, 63625, 40, 21, 576, 516, 71313
